pathway description	SRR17644439
PWY-6028	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-6038	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-6041	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6043	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6044	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6045	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6046	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6047	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6048	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6049	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6050	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6052	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6056	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6057	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6058	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6059	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6060	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-6069	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6071	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6072	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6077	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6079	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6080	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6081	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6082	Glycan Pathways; Glycan Biosynthesis
PWY-6083	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6084	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6085	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6086	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6087	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6088	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6089	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6090	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6091	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6093	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6094	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6095	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6099	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6102	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6103	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6104	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6107	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6113	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-6116	Biosynthesis; Carbohydrate Biosynthesis
PWY-6120	Biosynthesis; Amino Acid Biosynthesis
PWY-6121	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-6122	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-6123	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-6125	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-6126	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-6128	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6130	Generation of Precursor Metabolite and Energy; Fermentation
PWY-6131	Degradation/Utilization/Assimilation; Alcohol Degradation
PWY-6132	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-6139	Biosynthesis; Carbohydrate Biosynthesis
PWY-6140	Biosynthesis; Carbohydrate Biosynthesis
PWY-6141	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-6142	Biosynthesis; Carbohydrate Biosynthesis
PWY-6143	Biosynthesis; Carbohydrate Biosynthesis
PWY-6145	Biosynthesis; Carbohydrate Biosynthesis
PWY-6146	Superpathways; Methanobacterium thermoautotrophicum biosynthetic metabolism
PWY-6147	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6148	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6151	Biosynthesis; Amino Acid Biosynthesis
PWY-6153	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6154	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6157	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6160	Biosynthesis; Aromatic Compound Biosynthesis
PWY-6163	Biosynthesis; Aromatic Compound Biosynthesis
PWY-6164	Biosynthesis; Aromatic Compound Biosynthesis
PWY-6165	Biosynthesis; Aromatic Compound Biosynthesis
PWY-6167	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6173	Biosynthesis; Amine and Polyamine Biosynthesis
PWY-6174	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6176	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6178	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6182	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6183	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6184	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6185	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6190	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6191	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6192	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6193	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6196	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-6197	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6200	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-621	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-6210	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6214	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6215	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6216	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6217	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-622	Glycan Pathways; Glycan Biosynthesis
PWY-6221	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6223	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6224	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6228	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-6262	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6263	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6268	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6269	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6277	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-6279	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6280	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6281	Biosynthesis; Amino Acid Biosynthesis
PWY-6282	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-6284	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-6285	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-6286	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6287	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6288	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6289	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6291	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6292	Biosynthesis; Amino Acid Biosynthesis
PWY-6294	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-63	Biosynthesis; Carbohydrate Biosynthesis
PWY-6308	Biosynthesis; Amino Acid Biosynthesis
PWY-6314	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6317	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-6321	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6322	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6324	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6327	Generation of Precursor Metabolite and Energy; Respiration
PWY-6328	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-6336	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6338	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6339	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6340	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6341	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6343	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6344	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-6345	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6346	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6348	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6349	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-6350	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-6353	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY-6373	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-6374	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6375	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6376	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6378	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6379	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6381	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6383	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6385	Biosynthesis; Cell Structure Biosynthesis
PWY-6386	Biosynthesis; Cell Structure Biosynthesis
PWY-6387	Biosynthesis; Cell Structure Biosynthesis
PWY-6388	Degradation/Utilization/Assimilation; Alcohol Degradation
PWY-6389	Generation of Precursor Metabolite and Energy; Fermentation
PWY-6390	Generation of Precursor Metabolite and Energy; Fermentation
PWY-6391	Generation of Precursor Metabolite and Energy; Fermentation
PWY-6392	Generation of Precursor Metabolite and Energy; Fermentation
PWY-6395	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6396	Generation of Precursor Metabolite and Energy; Fermentation
PWY-6397	Biosynthesis; Cell Structure Biosynthesis
PWY-6404	Biosynthesis; Cell Structure Biosynthesis
PWY-6406	Biosynthesis; Aromatic Compound Biosynthesis
PWY-6407	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6408	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6409	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6412	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-6416	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6419	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6420	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6421	Detoxification; Arsenate Detoxification
PWY-6422	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-6426	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY-6430	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY-6454	Detoxification; Antibiotic Resistance
PWY-6455	Detoxification; Antibiotic Resistance
PWY-6456	Biosynthesis; Amine and Polyamine Biosynthesis
PWY-6457	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6458	Biosynthesis; Aromatic Compound Biosynthesis
PWY-6459	Biosynthesis; Cell Structure Biosynthesis
PWY-6461	Biosynthesis; Cell Structure Biosynthesis
PWY-6462	Biosynthesis; Cell Structure Biosynthesis
PWY-6463	Biosynthesis; Cell Structure Biosynthesis
PWY-6464	Degradation/Utilization/Assimilation; Alcohol Degradation
PWY-6466	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6467	Biosynthesis; Cell Structure Biosynthesis
PWY-6470	Biosynthesis; Cell Structure Biosynthesis
PWY-6471	Biosynthesis; Cell Structure Biosynthesis
PWY-6475	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6476	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6478	Biosynthesis; Carbohydrate Biosynthesis
PWY-6481	Biosynthesis; Other Biosynthesis
PWY-6482	Biosynthesis; Amino Acid Biosynthesis
PWY-6486	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-6497	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-6498	Biosynthesis; Other Biosynthesis
PWY-6499	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-6501	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-6502	Metabolic Clusters; oxidized GTP and dGTP detoxification
PWY-6504	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6505	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-6507	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-6509	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
PWY-6510	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
PWY-6511	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6512	Generation of Precursor Metabolite and Energy; Chemoautotrophic Energy Metabolism
PWY-6516	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-6517	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-6518	Degradation/Utilization/Assimilation; Fatty Acid and Lipid Degradation
PWY-6519	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6523	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6526	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-6529	Generation of Precursor Metabolite and Energy; Respiration
PWY-6530	Generation of Precursor Metabolite and Energy; Respiration
PWY-6532	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6533	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6534	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6535	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-6536	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-6537	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-6538	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-6540	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6543	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6545	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-6550	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6556	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY-6559	Biosynthesis; Amine and Polyamine Biosynthesis
PWY-6562	Biosynthesis; Amine and Polyamine Biosynthesis
PWY-6565	Biosynthesis; Amine and Polyamine Biosynthesis
PWY-6572	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6574	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6578	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6580	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-6581	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6583	Generation of Precursor Metabolite and Energy; Fermentation
PWY-6587	Generation of Precursor Metabolite and Energy; Fermentation
PWY-6588	Generation of Precursor Metabolite and Energy; Fermentation
PWY-6590	Generation of Precursor Metabolite and Energy; Fermentation
PWY-6591	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6592	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6593	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6594	Generation of Precursor Metabolite and Energy; Fermentation
PWY-6598	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-6599	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-66	Biosynthesis; Carbohydrate Biosynthesis
PWY-6604	Generation of Precursor Metabolite and Energy; Fermentation
PWY-6605	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-6608	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY-6609	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-6610	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-6611	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-6612	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6613	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6614	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6616	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6617	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY-6618	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-6619	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-6620	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-6622	Biosynthesis; Carbohydrate Biosynthesis
PWY-6626	Biosynthesis; Cell Structure Biosynthesis
PWY-6627	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6628	Biosynthesis; Amino Acid Biosynthesis
PWY-6629	Biosynthesis; Amino Acid Biosynthesis
PWY-6630	Biosynthesis; Amino Acid Biosynthesis
PWY-6632	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-6633	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-6634	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6637	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6638	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6640	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6641	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6642	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6643	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6644	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6646	Detoxification; fluoroacetate degradation
PWY-6648	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-6649	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-6654	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6655	Biosynthesis; Carbohydrate Biosynthesis
PWY-6657	Biosynthesis; Storage Compound Biosynthesis
PWY-6658	Biosynthesis; Carbohydrate Biosynthesis
PWY-6660	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6661	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6662	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6664	Biosynthesis; Metabolic Regulator Biosynthesis
PWY-6666	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6670	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-6672	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-6675	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6676	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6677	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6679	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6682	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6683	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6685	Biosynthesis; Metabolic Regulator Biosynthesis
PWY-6686	Biosynthesis; Metabolic Regulator Biosynthesis
PWY-6687	Biosynthesis; Metabolic Regulator Biosynthesis
PWY-6690	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6692	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6694	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-6695	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-6696	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-6697	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-6698	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-6700	Macromolecule Modification; Nucleic Acid Processing
PWY-6703	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6707	Biosynthesis; Aromatic Compound Biosynthesis
PWY-6708	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6711	Macromolecule Modification; Nucleic Acid Processing
PWY-6713	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-6714	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-6717	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6718	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6720	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6721	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6722	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6728	Generation of Precursor Metabolite and Energy; methylaspartate cycle
PWY-6730	Biosynthesis; Other Biosynthesis
PWY-6731	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6735	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6737	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6742	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
PWY-6744	Generation of Precursor Metabolite and Energy; Hydrogen Production
PWY-6748	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6749	Biosynthesis; Carbohydrate Biosynthesis
PWY-6751	Generation of Precursor Metabolite and Energy; Hydrogen Production
PWY-6753	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY-6754	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY-6756	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY-6758	Generation of Precursor Metabolite and Energy; Hydrogen Production
PWY-6759	Generation of Precursor Metabolite and Energy; Hydrogen Production
PWY-6760	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-6765	Generation of Precursor Metabolite and Energy; Hydrogen Production
PWY-6767	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6771	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6772	Generation of Precursor Metabolite and Energy; Hydrogen Production
PWY-6773	Biosynthesis; Carbohydrate Biosynthesis
PWY-6778	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-6780	Generation of Precursor Metabolite and Energy; Hydrogen Production
PWY-6781	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6784	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6785	Generation of Precursor Metabolite and Energy; Hydrogen Production
PWY-6789	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6790	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6794	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-6795	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6797	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6805	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6806	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-6808	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-681	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-6813	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6815	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6816	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6817	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6818	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-6821	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6822	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6823	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6825	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-6826	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-6827	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6828	Detoxification; Antibiotic Resistance
PWY-6830	Generation of Precursor Metabolite and Energy; Respiration
PWY-6831	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6832	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-6834	Biosynthesis; Amine and Polyamine Biosynthesis
PWY-6853	Biosynthesis; Hormone Biosynthesis
PWY-6854	Biosynthesis; Hormone Biosynthesis
PWY-6855	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6863	Generation of Precursor Metabolite and Energy; Fermentation
PWY-6871	Generation of Precursor Metabolite and Energy; 3-methylbutanol biosynthesis (engineered)
PWY-6873	Generation of Precursor Metabolite and Energy; long chain fatty acid ester synthesis (engineered)
PWY-6876	Generation of Precursor Metabolite and Energy; isopropanol biosynthesis (engineered)
PWY-6883	Generation of Precursor Metabolite and Energy; Fermentation
PWY-6886	Generation of Precursor Metabolite and Energy; Fermentation
PWY-6890	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6891	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6892	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6893	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6894	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6895	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6896	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6897	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6898	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6899	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6901	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-6902	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6906	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-6907	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6910	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6915	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6919	Biosynthesis; Secondary Metabolite Biosynthesis
